# English-French translations created from the Universal dictionary at 2011-05-28T05:42:42-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 choice ; selection ; option ; pick 	 triage 	 abstract 
 choose ; take ; select ; pick out 	 choisir 	 verb 
 church ; church building 	 église 	 city 
 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 cinéma 	 city 
 circle 	 cercle 	 mathematics 
 city ; metropolis ; urban center 	 ville 	 society 
 claim 	 recours 	 society 
 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 clandestin 	 adjective 
 class ; form ; grade ; course 	 classe 	 art 
 classify ; class ; sort ; assort ; sort out ; separate 	 classer 	 verb 
 clean 	 propre 	 adjective 
 clean ; make clean 	 polir 	 verb 
 clear 	 clair 	 adjective 
 clearly 	 distinctement 	 adverb 
 clock 	 horloge 	 device 
 close ; shut 	 clore 	 verb 
 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 costume 	 clothes 
 cloud 	 nuage 	 nature 
 club 	 massue 	 object 
 club ; social club ; society ; guild ; gild ; lodge ; order 	 club 	 society 
 coal 	 charbon 	 material 
 coat 	 manteau 	 clothes 
 coffee ; java 	 café 	 food 
 cognition ; knowledge ; noesis 	 connaissance 	 education 
 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 rouleau 	 object 
 cold 	 froid 	 adjective 
 cold ; common cold 	 rhume 	 medicine 
 coldness ; cold ; low temperature ; frigidity ; frigidness 	 froid 	 nature 
 collar ; neckband 	 col 	 clothes 
 color ; colour ; coloring ; colouring 	 teinte 	 art 
 coloring material ; colouring material ; color ; colour 	 couleur 	 art 
 come ; come up 	 venir 	 verb 
 committee ; commission 	 conseil 	 society 
 common 	 courant 	 adjective 
 common ; mutual 	 commun 	 adjective 
 common ; usual 	 commun 	 adjective 
 community 	 communauté 	 society 
 company 	 société 	 business 
 company ; companionship ; fellowship ; society 	 compagnie 	 society 
 compare 	 comparer 	 verb 
 comparison ; comparing 	 confrontation 	 abstract 
 competition 	 concurrence 	 business 
 complete ; consummate 	 complet 	 adjective 
 complete ; finish 	 terminer 	 verb 
 complimentary ; costless ; free ; gratis ; gratuitous 	 gratuit 	 adjective 
 component ; constituent ; element ; factor ; ingredient 	 élément 	 mathematics 
 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 ordinateur 	 device 
 concert 	 concert 	 art 
 concluding ; final ; last ; terminal 	 définitif 	 adjective 
 condition ; status 	 condition 	 abstract 
 confront ; face up ; face 	 affronter 	 verb 
 connection ; connexion ; connector ; connecter ; connective 	 connecteur 	 abstract 
 conscious ; witting 	 conscient 	 adjective 
 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 conséquence 	 medicine 
 construct ; build ; make 	 bâtir 	 verb 
 contend ; fight ; struggle 	 lutter 	 verb 
 contest ; competition 	 concurrence 	 society 
 continue ; go on ; proceed ; go along ; keep 	 continuer 	 verb 
 contract 	 contrat 	 business 
 control 	 maîtrise 	 abstract 
 control ; command 	 contrôler 	 verb 
 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 discussion 	 mathematics 
 cook 	 cuisiner 	 verb 
 cook 	 cuisinier 	 profession 
 cook ; fix ; ready ; make ; prepare 	 cuisiner 	 verb 
 cope ; get by ; make out ; make do ; contend ; grapple ; deal ; manage 	 faire face 	 verb 
 copy 	 copie 	 object 
 copy ; re-create 	 copier 	 verb 
 correct ; right 	 correct 	 adjective 
 cost 	 frais 	 society 
 cotton 	 coton 	 material 
 cotton ; cotton fiber ; cotton wool 	 coton 	 material 
 cough 	 tousser 	 verb 
 cough ; coughing 	 toux 	 medicine 
 council 	 conseil 	 society 
 country ; state ; land 	 pays 	 society 
 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 couple 	 number 
 course ; course of study ; course of instruction ; class 	 cours 	 education 
 court ; tribunal ; judicature 	 tribunal 	 society 
 cow ; moo-cow 	 vache 	 animal 
 crack ; cleft ; crevice ; fissure ; scissure 	 fissure 	 abstract 
 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 délit 	 society 
 crude ; rough 	 grossier 	 adjective 
 crush 	 écraser 	 verb 
 cry ; outcry ; call ; yell ; shout ; vociferation 	 cri 	 communication 
 cry ; weep 	 pleurer 	 verb 
 culture ; civilization ; civilisation 	 culture 	 society 
 cup 	 coupe 	 food 
 cup ; loving cup 	 coupe 	 object 
 cupboard ; closet 	 placard 	 house 
 current 	 actuel 	 adjective 
 current ; electric current 	 courant 	 nature 
 current ; stream 	 courant 	 nature 
 curtain ; drape ; drapery ; mantle ; pall 	 rideau 	 house 
 curvature ; curve 	 courbure 	 mathematics 
 curve ; curved shape 	 arc 	 art 
 customer ; client 	 commettant 	 business 
 cut 	 couper 	 verb 
