# Russian-French translations created from the Universal dictionary at 2011-08-27T09:42:49-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 закрытый 	 fermé 	 adjective 
 закрыть 	 envelopper 	 verb 
 замена 	 échange 	 abstract 
 заменить 	 remplacer 	 verb 
 заместитель 	 représentant 	 profession 
 заметка 	 note 	 communication 
 замечательный 	 excellent 	 adjective 
 замечательный 	 formidable 	 adjective 
 замкнуть 	 fermer 	 verb 
 замок 	 serrure 	 house 
 замок ; кремль 	 château 	 city 
 замышлять 	 entendre 	 verb 
 занавеска 	 rideau 	 house 
 занятие ; торговля 	 affaire 	 business 
 запад 	 ouest 	 logistics 
 западный 	 ouest 	 adjective 
 запах 	 odeur 	 nature 
 записать 	 enregistrer 	 verb 
 запустить 	 manquer 	 verb 
 заряд 	 charge 	 nature 
 зарядить 	 charger 	 verb 
 звезда 	 étoile 	 nature 
 звонить 	 téléphoner 	 verb 
 звонок ; зов ; оклик 	 communication 	 communication 
 звук 	 audio 	 abstract 
 звук 	 son 	 nature 
 здание 	 immeuble 	 city 
 здесь ; тут 	 ici 	 adverb 
 здоровый 	 sain 	 adjective 
 здоровый 	 salubre 	 adjective 
 здоровье 	 santé 	 abstract 
 здоровье 	 santé 	 medicine 
 зелёный 	 vert 	 color 
 земля 	 terre 	 material 
 земля ; почва 	 terre 	 nature 
 зеркало 	 miroir 	 house 
 зерно 	 grain 	 material 
 зерно ; семя 	 graine 	 food 
 зима 	 hiver 	 nature 
 змея 	 serpent 	 animal 
 знак 	 caractère 	 linguistics 
 знак 	 signe 	 linguistics 
 знание 	 connaissance 	 education 
 знать 	 savoir 	 verb 
 золото 	 or 	 material 
 золотой ; золотистий 	 d'or 	 color 
 зуб 	 dent 	 anatomy 
 и 	 et 	 conjunction 
 ибо 	 car 	 conjunction 
 иголка ; игла 	 aiguille 	 medicine 
 игра 	 jeu 	 mathematics 
 игра 	 jeu 	 sports 
 играть 	 jouer 	 verb 
 игрок 	 joueur 	 sports 
 идти 	 marcher 	 verb 
 идёт снег 	 neiger 	 verb 
 извержение 	 salve 	 abstract 
 изготовить 	 produire 	 verb 
 издать 	 promulguer 	 verb 
 изменить 	 changer 	 verb 
 измерение 	 mesurage 	 art 
 износ 	 usure 	 abstract 
 изображение 	 image 	 art 
 изобретение ; измышление ; вымысел 	 invention 	 art 
 изучать 	 étudier 	 verb 
 или 	 ou 	 conjunction 
 иметь 	 avoir 	 verb 
 имидж 	 image 	 art 
 имущество 	 propriété 	 society 
 имя 	 nom 	 linguistics 
 имя прилагательное 	 adjectif 	 linguistics 
 индивидуум 	 individu 	 society 
 иногда 	 parfois 	 adverb 
 иностранный 	 étranger 	 adjective 
 инструмент ; орудие 	 instrument 	 device 
 интерес 	 intérêt 	 communication 
 интересный 	 intéressant 	 adjective 
 интернет 	 internet 	 mathematics 
 искренний 	 sincère 	 adjective 
 искривление ; кривизна ; изгиб 	 courbure 	 mathematics 
 искусство 	 adresse 	 sports 
 искусство 	 art 	 art 
 испанский язык 	 espagnol 	 language 
 использовать 	 utiliser 	 verb 
 испытать 	 essayer 	 verb 
 исследование 	 recherche 	 abstract 
 исследовать 	 recherche 	 verb 
 история 	 histoire 	 society 
 источник 	 source 	 nature 
 источник 	 source 	 transport 
 исходный ; оригинальный 	 original 	 adjective 
 итальянский язык 	 italien 	 language 
 итог ; сумма 	 montant 	 mathematics 
 их 	 les 	 pronoun 
 их 	 leur 	 pronoun 
 июль 	 juillet 	 time 
 июнь 	 juin 	 time 
 каждый 	 chacun 	 adjective 
 каждый 	 chacun 	 adjective 
 казаться 	 paraître 	 verb 
 как 	 comme 	 adverb 
 какой 	 quel 	 pronoun 
 камера 	 caméra 	 object 
 кампания 	 campagne 	 abstract 
 канат 	 corde 	 transport 
 каникулы 	 vacance 	 travelling 
 капитал 	 capital 	 business 
 капля 	 goutte 	 object 
 карандаш 	 crayon 	 object 
 карта 	 carte 	 object 
 картина 	 tableau 	 art 
 картофелина 	 pomme de terre 	 food 
