# Esperanto-German translations created from the Universal dictionary at 2011-08-27T09:41:46-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 dubi 	 anzweifeln ; bezweifeln ; zweifeln 	 verb 
 dubo 	 Ungewissheit ; Zweifel 	 communication 
 dudek 	 zwantig 	 number 
 dum 	 während 	 preposition 
 duono 	 Hälfte 	 mathematics 
 duŝo 	 Dusche 	 house 
 ebena 	 eben 	 adjective 
 ebenejo 	 Ebene 	 nature 
 eble 	 vielleicht 	 adverb 
 ecx 	 sogar 	 adverb 
 edukado 	 Erziehung 	 society 
 eduki 	 erziehen ; aufziehen 	 verb 
 edzeco 	 Ehe ; Ehegemeinschaft 	 society 
 edzigxi 	 heiraten 	 verb 
 edzinigxinta 	 verheiratet 	 adjective 
 edzino 	 Ehefrau ; Frau ; Gemahlin 	 family 
 edzo 	 Ehemann ; Mann ; Gemahl ; Gatte 	 family 
 efektiva 	 echt ; wahr 	 adjective 
 egala 	 gleich 	 adjective 
 ekde 	 seit 	 preposition 
 eklezio 	 Kirche 	 city 
 ekonomia 	 sparsam ; ökonomisch 	 adjective 
 ekonomia 	 wirtschaftlich 	 adjective 
 ekonomio 	 Wirtschaft ; Wirtschaftssystem 	 business 
 ekspliki 	 erklären ; erläutern ; aufklären 	 verb 
 eksplodo 	 Ausbruch ; Eruption 	 abstract 
 ekster 	 außen ; außer ; außerhalb ; draußen 	 adverb 
 eksterajxo 	 Äußere 	 mathematics 
 eksterlanda 	 ausländisch ; fremd 	 adjective 
 ekvilibro 	 Gleichgewicht 	 physics 
 ekzameno 	 Examen ; Prüfung 	 communication 
 ekzemplo 	 Beispiel 	 communication 
 ekzerci 	 praktizieren ; exerzieren 	 verb 
 ekzistado 	 Dasein ; Existenz ; Sein 	 society 
 ekzisti 	 existieren ; bestehen 	 verb 
 elcento 	 Prozent ; Prozente 	 mathematics 
 elefanto 	 Elefant 	 animal 
 eleganta 	 elegant 	 adjective 
 elekti 	 auswählen ; wählen 	 verb 
 elekto 	 Wahl 	 abstract 
 elekto 	 Wahl 	 mathematics 
 elektra 	 elektrisch ; elektrischer 	 adjective 
 elemento 	 Element 	 mathematics 
 elpreni 	 entfernen ; beseitigen ; wegschaffen 	 verb 
 elŝeligi 	 schälen 	 verb 
 emigi 	 bewirken 	 verb 
 en 	 hinein ; im 	 adverb 
 en 	 in 	 preposition 
 ene 	 innen ; innerhalb ; inwendig 	 adverb 
 energio 	 Energie 	 nature 
 enhavi 	 enthalten 	 verb 
 eniri 	 eintreten ; hineingehen ; hineinkommen 	 verb 
 enspezo 	 Einkommen 	 business 
 envolvi 	 verhüllen ; verschleiern ; einhüllen 	 verb 
 epoko 	 Periode 	 time 
 epoko 	 Zeitalter ; Alter 	 time 
