# Esperanto-English translations created from the Universal dictionary at 2011-05-28T05:46:47-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 fendeto 	 crack ; cleft ; crevice ; fissure ; scissure 	 abstract 
 fendi 	 divide ; split ; split up ; separate ; dissever ; carve up 	 verb 
 fenestro 	 window 	 house 
 fermi 	 close ; shut 	 verb 
 fermita 	 shut ; unopen ; closed 	 adjective 
 fero 	 iron ; Fe ; atomic number 26 	 material 
 festo 	 party 	 society 
 fetori 	 smell 	 verb 
 fido 	 religion ; faith ; religious belief 	 society 
 fiksita 	 fixed 	 adjective 
 filino 	 daughter ; girl 	 family 
 filmo 	 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 art 
 filo 	 son ; boy 	 family 
 fina 	 concluding ; final ; last ; terminal 	 adjective 
 financa 	 fiscal ; financial 	 adjective 
 fingro 	 finger 	 anatomy 
 fini 	 complete ; finish 	 verb 
 fini 	 end ; stop ; finish ; terminate ; cease 	 verb 
 fino 	 end ; terminal 	 abstract 
 firma 	 firm ; solid 	 adjective 
 firmo 	 firm ; house ; business firm 	 business 
 fizika 	 physical 	 adjective 
 fizika 	 physical 	 adjective 
 fiŝo 	 fish 	 animal 
 flago 	 flag 	 object 
 flamo 	 fire ; flame ; flaming 	 nature 
 flava 	 yellow ; yellowish ; xanthous 	 color 
 flegado 	 care ; attention ; aid ; tending 	 abstract 
 flegistino 	 nurse 	 profession 
 floro 	 flower 	 nature 
 flugi 	 fly ; wing 	 verb 
 flugilo 	 wing 	 anatomy 
 flugo 	 flight ; flying 	 transport 
 fluo 	 current ; electric current 	 nature 
 fluo 	 current ; stream 	 nature 
 fluo 	 stream ; flow ; current 	 nature 
 fojfoje 	 sometimes 	 adverb 
 folio 	 leaf ; leafage ; foliage 	 nature 
 fondi 	 establish ; found ; plant ; constitute ; institute 	 verb 
 fonto 	 spring ; fountain ; outflow ; outpouring ; natural spring 	 nature 
 fora 	 far 	 adjective 
 forgesi 	 forget 	 verb 
