# Russian-German translations created from the Universal dictionary at 2011-08-27T09:42:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 журнал 	 Zeitschrift 	 object 
 журналист ; газетный сотрудник 	 Journalist 	 profession 
 жёлтый 	 gelb 	 color 
 жёсткий 	 fest 	 adjective 
 жёсткий ; негнущийся 	 starr 	 adjective 
 за 	 jenseits 	 adverb 
 заботиться 	 beachten 	 verb 
 заботиться 	 sorgen 	 verb 
 забыть ; забывать 	 vergessen 	 verb 
 завести 	 leiten ; führen 	 verb 
 завещание 	 Testament 	 society 
 завод 	 Fabrik ; Fertigungsanlage 	 city 
 завод ; фабрика 	 Fabrik ; Werk 	 city 
 завтра 	 morgen 	 adverb 
 завтрак 	 Frühstück 	 food 
 завтрашний день ; завтра 	 Morgen 	 time 
 загиб 	 Falte ; Biegung ; Biegen ; Krümmung 	 object 
 заглавная буква 	 Großbuchstabe 	 linguistics 
 задняя страница 	 Rückseite 	 clothes 
 заключать в себе ; охватывать 	 enthalten 	 verb 
 заключать в себе ; охватывать 	 enthalten ; umfassen 	 verb 
 заключение ; решение 	 Beschluss ; Entscheidung ; Entschluss ; Schlussfolgerung 	 communication 
 закон 	 Gesetz 	 society 
 законный 	 legal 	 adjective 
 закончить ; докончить 	 beenden ; fertig stellen ; fertigstellen ; vollenden ; endigen ; erledigen 	 verb 
 закрывать 	 schließen ; zumachen 	 verb 
 закрытый 	 geschlossen ; ungeöffnet 	 adjective 
 закрыть 	 verhüllen ; verschleiern ; einhüllen 	 verb 
 зал суда 	 Gerichtssaal 	 society 
 замена 	 Ersatz 	 abstract 
 заменить 	 ersetzen 	 verb 
 заместитель 	 Stellvertreter 	 profession 
 заметка 	 Anmerkung ; Note ; Notiz 	 communication 
 замечательный 	 ausgezeichnet 	 adjective 
 замечательный 	 toll ; großartig 	 adjective 
 замкнуть 	 schließen ; verschließen ; zuschließen 	 verb 
 замок 	 Schloss ; Schloß 	 house 
 замок ; кремль 	 Burg 	 city 
 замышлять 	 beabsichtigen ; vorhaben 	 verb 
 занавеска 	 Gardine ; Vorhang 	 house 
 занятие ; торговля 	 Handel 	 business 
 запад 	 westen ; Westen 	 logistics 
 западный 	 westlich 	 adjective 
 запах 	 Aroma ; Geruch 	 nature 
 записать 	 aufnehmen ; aufzeichnen 	 verb 
 запустить 	 versagen 	 verb 
 заряд 	 Ladung 	 nature 
 зарядить 	 laden ; aufladen 	 verb 
 звезда 	 Stern 	 nature 
 звонить 	 telefonieren ; anrufen 	 verb 
 звонок ; зов ; оклик 	 Anruf 	 communication 
 звук 	 Ton 	 abstract 
 звук 	 Ton 	 nature 
 здание 	 Bau ; Bauwerk ; Gebäude 	 city 
 здесь ; тут 	 hier 	 adverb 
 здоровый 	 gesund 	 adjective 
 здоровый 	 gesund 	 adjective 
 здоровый 	 gesund 	 adjective 
 здоровье 	 Gesundheit 	 medicine 
 здоровье 	 Gesundheitszustand 	 abstract 
 зелёный 	 grün 	 color 
 земля 	 Erde 	 material 
 земля ; почва 	 Boden ; Erdboden ; Erde 	 nature 
 зеркало 	 Spiegel 	 house 
 зерно 	 Korn 	 material 
 зерно ; семя 	 Same ; Samen 	 food 
 зима 	 Winter 	 nature 
 змея 	 Schlange 	 animal 
 знак 	 Schriftzeichen ; Zeichen 	 linguistics 
 знак 	 Zeichen 	 linguistics 
 знание 	 Kenntnis 	 education 
 золото 	 Gold 	 material 
 золотой ; золотистий 	 golden 	 color 
 зуб 	 Zahn 	 anatomy 
 и 	 und 	 conjunction 
 ибо 	 weil 	 conjunction 
 иголка ; игла 	 Nadel 	 medicine 
 игра 	 Spiel 	 mathematics 
 игра 	 Spiel 	 sports 
 играть 	 spielen 	 verb 
 игрок 	 Spieler 	 sports 
 идти 	 gehen 	 verb 
 идёт снег 	 schneien 	 verb 
 извержение 	 Ausbruch ; Eruption 	 abstract 
 изготовить 	 produzieren ; herstellen 	 verb 
 издать 	 veröffentlichen 	 verb 
 изменить 	 abändern ; verändern ; ändern 	 verb 
 измерение 	 Messen ; Messung 	 art 
 износ 	 Abnutzung 	 abstract 
 изображение 	 Bild 	 art 
 изобретение ; измышление ; вымысел 	 Erfindung 	 art 
 изучать 	 studieren 	 verb 
 или 	 oder 	 conjunction 
 иметь 	 haben 	 verb 
 имидж 	 Image 	 art 
 имущество 	 Eigentum ; Besitz ; Habseligkeiten 	 society 
 имя 	 Name 	 linguistics 
 имя прилагательное 	 Adjektiv 	 linguistics 
 индивидуум 	 Individuum 	 society 
 иногда 	 bisweilen ; manchmal 	 adverb 
 иностранный 	 ausländisch ; fremd 	 adjective 
 инструмент ; орудие 	 Instrument 	 device 
 интерес 	 Interesse 	 communication 
 интересный 	 interessant 	 adjective 
 интернет 	 Internet 	 mathematics 
 искренний 	 aufrichtig 	 adjective 
 искривление ; кривизна ; изгиб 	 Krümmung 	 mathematics 
 искусство 	 Geschick 	 sports 
 искусство 	 Kunst ; Arte 	 art 
 испанский язык 	 Spanisch 	 language 
 использовать 	 anwenden ; verwenden ; benutzen 	 verb 
 испытать 	 probieren 	 verb 
 исследование 	 Forschung 	 abstract 
 исследовать 	 forschen 	 verb 
